fish_no,oto_age
1,2
2,4
3,5
4,NA
5,3
6,3
7,1
8,1
9,2
10,1
11,1
12,NA
13,NA
14,NA
15,NA
16,2
17,1
18,2
19,5
20,5
21,2
22,2
23,2
24,2
25,1
26,2
27,2
28,2
29,2
30,2
31,1
32,2
33,3
34,2
35,2
36,2
37,2
38,3
39,5
40,4
41,NA
42,4
43,4
44,3
45,3
46,3
47,4
48,4
49,5
50,4
51,NA
52,1
53,1
54,1
55,1
56,1
57,2
58,2
59,3
60,1
61,1
62,2
63,5
64,2
65,3
66,1
67,1
68,1
69,1
70,1
71,1
72,2
73,NA
74,2
75,2
76,2
77,2
78,2
79,2
80,NA
81,NA
82,2
83,2
84,NA
85,2
86,NA
87,2
88,NA
89,3
90,3
91,1
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,3
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,4
147,NA
148,NA
149,NA
150,NA
151,1
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,2
185,NA
186,1
187,NA
188,NA
189,2
190,3
191,2
192,2
193,3
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,3
202,2
203,2
204,2
205,3
206,5
207,2
208,2
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,NA
251,NA
252,4
253,3
254,0
255,1
256,NA
257,4
258,3
259,3
260,6
261,3
262,2
263,2
264,2
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,1
281,4
282,3
283,3
284,NA
285,NA
286,NA
287,NA
288,NA
289,1
290,2
291,NA
292,NA
293,2
294,NA
295,NA
296,NA
297,3
298,NA
299,NA
300,NA
301,NA
302,NA
303,NA
304,NA
305,NA
306,NA
307,3
308,NA
309,NA
310,NA
311,NA
312,NA
313,NA
314,2
315,NA
316,NA
317,NA
318,NA
319,NA
320,3
321,NA
322,NA
323,NA
324,NA
325,NA
326,NA
327,NA
328,NA
329,NA
330,NA
331,NA
332,NA
333,2
334,NA
335,NA
336,NA
337,NA
338,2
339,NA
340,NA
341,2
342,NA
343,NA
344,NA
345,3
346,2
347,NA
348,NA
349,NA
350,NA
351,NA
352,2
353,NA
354,NA
355,NA
356,NA
357,NA
358,NA
359,NA
360,NA
361,NA
362,NA
363,NA
364,NA
365,NA
366,NA
367,NA
368,NA
