FleetID,PotID,PotName,PotType,LatDeg,LatMinSec,LongDeg,LongMinSec
1,1,14,NOR,49,37.77,54,2.39
1,2,13,NOR,49,37.77,54,2.39
1,3,12,NOR,49,37.77,54,2.39
1,4,11,NOR,49,37.77,54,2.39
1,5,10,NOR,49,37.77,54,2.39
1,6,9,NOR,49,37.77,54,2.39
1,7,8,NOR,49,37.77,54,2.39
1,8,7,NOR,49,37.77,54,2.39
1,9,6,NOR,49,37.77,54,2.39
1,10,5,NOR,49,37.77,54,2.39
1,11,4,NOR,49,37.77,54,2.39
1,12,3,NOR,49,37.77,54,2.39
1,13,2,NOR,49,37.77,54,2.39
1,14,1,NOR,49,37.77,54,2.39
2,15,A,NL,49,37.47,54,2.27
3,16,B,NL,49,38.08,54,1.89
4,17,C,NL,49,36.61,54,5.65
5,18,D,NL,49,36.61,54,5.75
6,19,E,NL,49,36.61,54,5.75
7,20,F,NL,49,35.89,54,8.73
8,21,G,NL,49,36.24,54,8.34
9,22,H,NL,49,36.15,54,8.1
10,23,I,NL,49,37.12,54,6.27
11,24,D,NL,49,36.65,54,5.7
12,25,E,NL,49,36.66,54,5.76
13,26,C,NL,49,36.6,54,5.77
14,27,J,NL,49,37.44,54,4.22
15,28,K,NL,49,37.33,54,3.33
16,29,B,NL,49,38.18,54,2.2
17,30,14,NOR,49,37.97,54,1.79
17,31,13,NOR,49,37.97,54,1.79
17,32,12,NOR,49,37.97,54,1.79
17,33,11,NOR,49,37.97,54,1.79
17,34,10,NOR,49,37.97,54,1.79
17,35,9,NOR,49,37.97,54,1.79
17,36,8,NOR,49,37.97,54,1.79
17,37,7,NOR,49,37.97,54,1.79
17,38,6,NOR,49,37.97,54,1.79
17,39,5,NOR,49,37.97,54,1.79
17,40,4,NOR,49,37.97,54,1.79
17,41,3,NOR,49,37.97,54,1.79
17,42,2,NOR,49,37.97,54,1.79
17,43,1,NOR,49,37.97,54,1.79
18,44,F,NL,49,35.9,54,8.54
19,45,G,NL,49,36.21,54,8.27
20,46,H,NL,49,36.11,54,8.06
21,47,C,NL,49,36.64,54,5.78
22,48,D,NL,49,36.64,54,5.72
23,49,E,NL,49,36.65,54,5.78
24,50,I,NL,49,37.09,54,6.3
25,51,J,NL,49,37.4,54,4.18
26,52,K,NL,49,37.3,54,3.4
27,53,L,NL,49,36.94,54,1.91
28,54,M,NL,49,36.85,54,1.97
29,55,N,NL,49,37.38,54,1.85
30,56,O,NL,49,37.2,54,1.93
31,57,A,NL,49,37.21,54,1.86
32,58,B,NL,49,38.19,54,2.22
33,59,I,NL,49,38.26,54,2.27
34,60,1,NOR,49,38.08,54,1.82
34,61,2,NOR,49,38.08,54,1.82
34,62,3,NOR,49,38.08,54,1.82
34,63,4,NOR,49,38.08,54,1.82
35,64,5,NOR,49,37.99,54,1.9
35,65,6,NOR,49,37.99,54,1.9
35,66,7,NOR,49,37.99,54,1.9
35,67,8,NOR,49,37.99,54,1.9
35,68,9,NOR,49,37.99,54,1.9
36,69,10,NOR,49,38.08,54,1.74
36,70,11,NOR,49,38.08,54,1.74
36,71,12,NOR,49,38.08,54,1.74
36,72,13,NOR,49,38.08,54,1.74
36,73,14,NOR,49,38.08,54,1.74
37,74,F,NL,49,37.78,54,2.42
38,75,H,NL,49,37.78,54,2.29
39,76,B,NL,49,38.23,54,2.19
40,77,I,NL,49,38.32,54,1.96
41,78,G,NL,49,36.98,54,2.09
42,79,C,NL,49,36.95,54,2.34
43,80,L,NL,49,36.93,54,1.96
44,81,M,NL,49,36.9,54,1.91
45,82,O,NL,49,37.2,54,1.86
46,83,A,NL,49,37.18,54,1.85
47,84,N,NL,49,37.36,54,1.74
48,85,J,NL,49,37.15,54,1.84
49,86,K,NL,49,37.16,54,1.92
50,87,F,NL,49,37.76,54,2.48
51,88,H,NL,49,37.81,54,2.29
52,89,B,NL,49,38.03,54,2.19
53,90,I,NL,49,38.06,54,2.09
54,91,1,NOR,49,38.07,54,2.02
54,92,2,NOR,49,38.07,54,2.02
54,93,3,NOR,49,38.07,54,2.02
54,94,4,NOR,49,38.07,54,2.02
55,95,10,NOR,49,37.31,54,1.78
55,96,11,NOR,49,37.31,54,1.78
55,97,12,NOR,49,37.31,54,1.78
55,98,13,NOR,49,37.31,54,1.78
55,99,14,NOR,49,37.31,54,1.78
56,100,5,NOR,49,37.95,54,1.89
56,101,6,NOR,49,37.95,54,1.89
56,102,7,NOR,49,37.95,54,1.89
56,103,8,NOR,49,37.95,54,1.89
56,104,9,NOR,49,37.95,54,1.89
57,105,M,NL,49,36.91,54,1.93
58,106,L,NL,49,36.93,54,1.97
59,107,G,NL,49,36.99,54,2.03
60,108,K,NL,49,37.15,54,1.9
61,109,J,NL,49,37.15,54,1.81
62,110,A,NL,49,37.18,54,1.78
63,111,O,NL,49,37.22,54,1.82
64,112,N,NL,49,37.75,54,1.79
65,113,5,NOR,49,37.25,54,1.63
65,114,6,NOR,49,37.25,54,1.63
65,115,7,NOR,49,37.25,54,1.63
65,116,8,NOR,49,37.25,54,1.63
65,117,9,NOR,49,37.25,54,1.63
66,118,F,NL,49,37.79,54,2.32
67,119,H,NL,49,36.68,54,2.16
68,120,10,NOR,49,37.97,54,1.92
68,121,11,NOR,49,37.97,54,1.92
68,122,12,NOR,49,37.97,54,1.92
68,123,13,NOR,49,37.97,54,1.92
68,124,14,NOR,49,37.97,54,1.92
69,125,1,NOR,49,37.89,54,1.81
69,126,2,NOR,49,37.89,54,1.81
69,127,3,NOR,49,37.89,54,1.81
69,128,4,NOR,49,37.89,54,1.81
70,129,C,NL,49,36.91,54,2.04
71,130,M,NL,49,36.88,54,2.04
72,131,L,NL,49,36.94,54,1.92
73,132,G,NL,49,36.97,54,1.47
74,133,K,NL,49,37,54,1.47
75,134,5,NOR,49,37.27,54,1.72
75,135,6,NOR,49,37.27,54,1.72
75,136,7,NOR,49,37.27,54,1.72
75,137,8,NOR,49,37.27,54,1.72
75,138,9,NOR,49,37.27,54,1.72
